M328,B1,SE2,21/10/2018,,T4,T7,0,4,A,0,2,A
M329,B1,SE2,26/10/2018,,T7,T9,2,1,H,1,1,D
M330,B1,SE2,27/10/2018,,T3,T6,1,1,D,0,1,A
M331,B1,SE2,27/10/2018,,T266,T4,0,0,D,0,0,D
M332,B1,SE2,27/10/2018,,T15,T2,2,2,D,1,2,A
M333,B1,SE2,27/10/2018,,T5,T14,2,2,D,2,1,H
M334,B1,SE2,28/10/2018,,T16,T1,2,1,H,2,0,H
M335,B1,SE2,28/10/2018,,T11,T13,1,1,D,0,0,D
M336,B1,SE2,28/10/2018,,T8,T10,0,1,A,0,0,D
M337,B1,SE2,30/10/2018,,T9,T15,1,0,H,0,0,D
M338,B1,SE2,30/10/2018,,T2,T4,4,0,H,3,0,H
M339,B1,SE2,30/10/2018,,T14,T7,3,1,H,2,0,H
M340,B1,SE2,31/10/2018,,T10,T13,2,4,A,2,0,H
M341,B1,SE2,31/10/2018,,T16,T3,2,0,H,0,0,D
M342,B1,SE2,31/10/2018,,T6,T8,2,2,D,2,0,H
M343,B1,SE2,01/11/2018,,T1,T266,1,1,D,0,0,D
M344,B1,SE2,01/11/2018,,T5,T11,3,1,H,1,1,D
M345,B1,SE2,02/11/2018,,T4,T9,2,1,H,1,0,H
M346,B1,SE2,03/11/2018,,T3,T14,2,1,H,0,1,A
M347,B1,SE2,03/11/2018,,T13,T2,1,1,D,1,0,H
M348,B1,SE2,03/11/2018,,T7,T6,3,1,H,0,1,A
M349,B1,SE2,04/11/2018,,T266,T16,2,0,H,2,0,H
M350,B1,SE2,04/11/2018,,T15,T5,2,1,H,0,1,A
M351,B1,SE2,04/11/2018,,T11,T10,0,2,A,0,1,A
M352,B1,SE2,04/11/2018,,T8,T1,1,2,A,0,1,A
M353,B1,SE2,09/11/2018,,T10,T4,2,0,H,1,0,H
M354,B1,SE2,10/11/2018,,T3,T8,2,0,H,1,0,H
M355,B1,SE2,10/11/2018,,T9,T2,2,1,H,1,1,D
M356,B1,SE2,10/11/2018,,T16,T15,1,4,A,0,2,A
M357,B1,SE2,10/11/2018,,T5,T266,2,0,H,0,0,D
M358,B1,SE2,11/11/2018,,T1,T7,2,0,H,1,0,H
M359,B1,SE2,11/11/2018,,T6,T11,0,2,A,0,1,A
M360,B1,SE2,11/11/2018,,T14,T13,0,0,D,0,0,D
M361,B1,SE2,23/11/2018,,T2,T5,1,3,A,0,2,A
M362,B1,SE2,24/11/2018,,T13,T3,1,2,A,0,2,A
M363,B1,SE2,24/11/2018,,T4,T6,1,2,A,1,1,D
M364,B1,SE2,24/11/2018,,T11,T16,3,0,H,2,0,H
M365,B1,SE2,24/11/2018,,T8,T14,1,2,A,0,1,A
M366,B1,SE2,25/11/2018,,T7,T10,0,0,D,0,0,D
M367,B1,SE2,25/11/2018,,T266,T9,2,4,A,1,1,D
M368,B1,SE2,25/11/2018,,T15,T1,4,2,H,1,1,D
M369,B1,SE2,30/11/2018,,T266,T7,2,2,D,1,0,H
M370,B1,SE2,01/12/2018,,T10,T15,1,3,A,1,2,A
M371,B1,SE2,01/12/2018,,T9,T3,3,1,H,1,0,H
M372,B1,SE2,01/12/2018,,T6,T14,1,0,H,1,0,H
M373,B1,SE2,01/12/2018,,T5,T4,1,1,D,1,0,H
M374,B1,SE2,02/12/2018,,T1,T13,0,1,A,0,0,D
M375,B1,SE2,02/12/2018,,T2,T11,3,0,H,3,0,H
M376,B1,SE2,02/12/2018,,T16,T8,1,0,H,1,0,H
M377,B1,SE2,07/12/2018,,T8,T2,2,1,H,0,0,D
M378,B1,SE2,08/12/2018,,T13,T6,1,1,D,1,1,D
M379,B1,SE2,08/12/2018,,T14,T5,0,0,D,0,0,D
M380,B1,SE2,08/12/2018,,T4,T266,1,0,H,0,0,D
M381,B1,SE2,08/12/2018,,T15,T11,1,1,D,1,0,H
M382,B1,SE2,09/12/2018,,T1,T9,1,1,D,0,0,D
M383,B1,SE2,09/12/2018,,T3,T10,0,3,A,0,2,A
M384,B1,SE2,09/12/2018,,T7,T16,2,0,H,1,0,H
M385,B1,SE2,14/12/2018,,T9,T7,2,0,H,0,0,D
M386,B1,SE2,15/12/2018,,T10,T8,0,2,A,0,0,D
M387,B1,SE2,15/12/2018,,T16,T14,1,0,H,0,0,D
M388,B1,SE2,15/12/2018,,T6,T2,0,0,D,0,0,D
