S257,M129,Charleroi,7,4,2,,3,0
S258,M129,Oostende,11,8,6,,4,0
S259,M130,Kortrijk,12,7,2,,2,0
S260,M130,Waasland-Beveren,17,7,7,,1,0
S261,M131,Lokeren,14,4,3,,2,0
S262,M131,Anderlecht,17,6,2,,5,0
S263,M132,Mechelen,5,3,3,,2,0
S264,M132,Genk,11,6,6,,3,0
S265,M133,Mouscron,7,5,5,,3,0
S266,M133,St Truiden,10,4,5,,2,0
S267,M134,Eupen,6,2,4,,4,0
S268,M134,Club Brugge,9,5,5,,3,0
S269,M135,Standard,8,2,4,,2,0
S270,M135,Antwerp,5,3,4,,1,0
S271,M136,Waregem,10,4,6,,4,0
S272,M136,Gent,10,6,4,,5,1
S273,M137,Waasland-Beveren,16,7,4,,1,0
S274,M137,Standard,9,4,6,,2,0
S275,M138,Antwerp,18,8,6,,0,0
S276,M138,Mouscron,7,4,5,,0,0
S277,M139,Genk,9,5,4,,2,0
S278,M139,Eupen,5,2,0,,4,0
S279,M140,Gent,11,4,11,,1,0
S280,M140,Kortrijk,5,2,3,,1,0
S281,M141,Oostende,9,4,6,,0,0
S282,M141,Mechelen,6,3,2,,0,0
S283,M142,Anderlecht,12,7,5,,5,2
S284,M142,Charleroi,11,8,2,,4,1
S285,M143,Club Brugge,9,7,10,,0,0
S286,M143,Lokeren,7,4,5,,0,0
S287,M144,St Truiden,5,2,2,,2,1
S288,M144,Waregem,8,6,7,,1,0
S289,M145,Mouscron,15,7,3,,1,0
S290,M145,Oostende,12,2,7,,0,0
S291,M146,Eupen,9,4,4,,2,0
S292,M146,St Truiden,7,2,5,,1,0
S293,M147,Kortrijk,4,3,3,,3,0
S294,M147,Mechelen,9,3,6,,1,0
S295,M148,Lokeren,7,4,6,,2,0
S296,M148,Waasland-Beveren,6,1,6,,2,0
S297,M149,Standard,8,4,8,,4,0
S298,M149,Gent,8,3,7,,6,0
S299,M150,Charleroi,7,4,4,,1,0
S300,M150,Genk,2,2,3,,2,0
